Iteracija = 123 : 3, sig: 2,  h1=10.0 h2=-5.137635033253353 trosak=139
Iteracija = 90 : 3, sig: 2,  h1=10.0 h2=2.430800825284092 trosak=124
Iteracija = 169 : 3, sig: 2,  h1=9.879449517995202 h2=3.249989657521289 trosak=124
Iteracija = 81 : 3, sig: 2,  h1=2.0550043310796733 h2=1.6110457842366468 trosak=43
Iteracija = 96 : 3, sig: 2,  h1=10.0 h2=3.9865091026695603 trosak=100
Iteracija = 108 : 3, sig: 2,  h1=10.0 h2=3.0145645304275357 trosak=117
Iteracija = 142 : 3, sig: 2,  h1=10.0 h2=0.27449805750777945 trosak=201
Iteracija = 68 : 3, sig: 2,  h1=10.0 h2=0.500268720536792 trosak=122
Iteracija = 81 : 4, sig: 0,  h1=10.0 h2=-1.4046042650217458 trosak=154
Iteracija = 70 : 4, sig: 0,  h1=10.0 h2=-3.53228069821928 trosak=124
Iteracija = 128 : 4, sig: 0,  h1=9.834847067129541 h2=3.4683694617768928 trosak=141
Iteracija = 108 : 4, sig: 0,  h1=10.0 h2=1.1541711269601589 trosak=117
Iteracija = 181 : 4, sig: 0,  h1=9.908513771946282 h2=3.9832394028686484 trosak=123
Iteracija = 86 : 4, sig: 0,  h1=10.0 h2=1.5801222321739403 trosak=150
Iteracija = 149 : 4, sig: 0,  h1=10.0 h2=0.4153270966486276 trosak=118
Iteracija = 79 : 4, sig: 0,  h1=9.164822334222452 h2=-1.5504475735226182 trosak=127
Iteracija = 111 : 4, sig: 0,  h1=2.4182278396273094 h2=-2.618396681257015 trosak=43
Iteracija = 135 : 4, sig: 0,  h1=9.848598600204749 h2=-3.1880029918324237 trosak=125
Iteracija = 118 : 4, sig: 1,  h1=9.687075081230553 h2=1.2890526829254387 trosak=135
Iteracija = 114 : 4, sig: 1,  h1=10.0 h2=-3.3048096704645626 trosak=129
Iteracija = 133 : 4, sig: 1,  h1=9.911092976464936 h2=3.8308526564370244 trosak=146
Iteracija = 68 : 4, sig: 1,  h1=10.0 h2=-2.4279421493196502 trosak=116
Iteracija = 120 : 4, sig: 1,  h1=10.0 h2=2.3552325451219684 trosak=113
Iteracija = 107 : 4, sig: 1,  h1=10.0 h2=-2.7990691694455547 trosak=121
Iteracija = 65 : 4, sig: 1,  h1=10.0 h2=-3.4851600444812734 trosak=136
Iteracija = 56 : 4, sig: 1,  h1=10.0 h2=-0.8128072014471124 trosak=111
Iteracija = 58 : 4, sig: 1,  h1=9.87648090930166 h2=-1.095301801679645 trosak=99
Iteracija = 139 : 4, sig: 1,  h1=9.364037021471363 h2=-3.5296918741965255 trosak=132
Iteracija = 158 : 4, sig: 2,  h1=9.961726739686503 h2=0.1691625882898828 trosak=146
Iteracija = 157 : 4, sig: 2,  h1=10.0 h2=-2.9558354639886635 trosak=214
Iteracija = 117 : 4, sig: 2,  h1=10.0 h2=8.2411914359684 trosak=109
Iteracija = 67 : 4, sig: 2,  h1=10.0 h2=-8.343585763880643 trosak=118
Iteracija = 106 : 4, sig: 2,  h1=10.0 h2=0.5454536545951579 trosak=106
Iteracija = 137 : 4, sig: 2,  h1=10.0 h2=2.1352194590381144 trosak=132
Iteracija = 116 : 4, sig: 2,  h1=10.0 h2=-1.2112732447497885 trosak=149
Iteracija = 56 : 4, sig: 2,  h1=10.0 h2=0.9130726020807303 trosak=143
Iteracija = 51 : 4, sig: 2,  h1=2.950323573953723 h2=0.3829389969210677 trosak=46
Iteracija = 141 : 4, sig: 2,  h1=9.538811933658257 h2=1.8784600948913392 trosak=108
